generation_number, max, min, avg
0, 0.360671723375, 0.00570845801912, 0.15545575925
1, 0.564421939594, 0.0146513472884, 0.168251287536
2, 0.577515829361, 0.00404645568231, 0.207542647913
3, 0.577515829361, 0.0135301229557, 0.223493904619
4, 0.68634272073, 0.0363949307239, 0.214706420182
5, 0.68634272073, 0.0214950115807, 0.242416404426
6, 0.68634272073, 0.0149953452394, 0.29227769775
7, 0.782508973759, 0.0291174924915, 0.305608184105
8, 0.782508973759, 0.0439965562764, 0.35915451293
9, 0.782508973759, 0.0285577867863, 0.378021552785
10, 0.782508973759, 0.0266857586123, 0.322475828079
11, 0.782508973759, 0.0255903267897, 0.327226357283
12, 0.782508973759, 0.0321667667937, 0.313901716133
13, 0.782508973759, 0.00662367923145, 0.386018369657
14, 0.782508973759, 0.0255837322888, 0.355035584434
15, 0.782508973759, 0.0493284833594, 0.37836362617
16, 0.782508973759, 0.0758023534551, 0.38969457184
17, 0.782508973759, 0.0296450547085, 0.409852149307
18, 0.782508973759, 0.0200563898948, 0.434326788559
19, 0.782508973759, 0.0478902141512, 0.413237138369
20, 0.782508973759, 0.0221397840933, 0.440347409416
21, 0.782508973759, 0.0295782586825, 0.431573046364
22, 0.782508973759, 0.0317666710909, 0.387543566427
23, 0.782508973759, 0.0219574870196, 0.363818496263
24, 0.782508973759, 0.0219574870196, 0.363072176298
25, 0.782508973759, 0.0663441205437, 0.386200511441
26, 0.782508973759, 0.068707474369, 0.375823947712
27, 0.782508973759, 0.00740229635655, 0.399534104316
28, 0.782508973759, 0.0499922975393, 0.385928892247
29, 0.782508973759, 0.0468881041331, 0.376435432003
30, 0.782508973759, 0.0256158830204, 0.363228116028
31, 0.782508973759, 0.0788172603584, 0.409330443074
32, 0.782508973759, 0.0521272187275, 0.405766722202
33, 0.782508973759, 0.0419528879488, 0.395188081548
34, 0.782508973759, 0.0522466608523, 0.43289041248
35, 0.782508973759, 0.0317666710909, 0.406091377139
36, 0.782508973759, 0.0723247710144, 0.50603626706
37, 0.782508973759, 0.100894454084, 0.452944396895
38, 0.782508973759, 0.0670329501036, 0.426402678953
39, 0.782508973759, 0.0350625100823, 0.376589124364
40, 0.782508973759, 0.0221397840933, 0.390954161425
41, 0.782508973759, 0.0241353522362, 0.377140199813
42, 0.782508973759, 0.00816431067767, 0.382208940416
43, 0.782508973759, 0.0624298605212, 0.401382440904
44, 0.782508973759, 0.0624298605212, 0.382713271952
45, 0.782508973759, 0.0624997903512, 0.415229329291
46, 0.782508973759, 0.0649312868743, 0.385270803003
47, 0.782508973759, 0.0227587957135, 0.428662992171
48, 0.782508973759, 0.0599765310339, 0.39822897388
49, 0.782508973759, 0.0599765310339, 0.37427733792
50, 0.782508973759, 0.030127263617, 0.427882593586
51, 0.782508973759, 0.038371265721, 0.450198034239
52, 0.782508973759, 0.0211220866997, 0.406451701842
53, 0.782508973759, 0.0317666710909, 0.404238562768
54, 0.782508973759, 0.0410105777177, 0.410163870191
55, 0.782508973759, 0.0118850313694, 0.388668383156
56, 0.782508973759, 0.0249883499714, 0.424916773643
57, 0.782508973759, 0.0221397840933, 0.44240358722
58, 0.782508973759, 0.0118615385754, 0.425497641956
59, 0.782508973759, 0.0182129966277, 0.386347611346
60, 0.782508973759, 0.0182129966277, 0.352296693236
61, 0.782508973759, 0.0737108468276, 0.368810368499
62, 0.782508973759, 0.161738778833, 0.408978546362
63, 0.782508973759, 0.0580330742065, 0.407056171235
64, 0.782508973759, 0.0490800049954, 0.389570804487
65, 0.782508973759, 0.0108948821642, 0.39980151022
66, 0.782508973759, 0.0317666710909, 0.423448268874
67, 0.782508973759, 0.0219574870196, 0.40829970227
68, 0.782508973759, 0.0219574870196, 0.445922664572
69, 0.782508973759, 0.0350625100823, 0.485354681246
70, 0.782508973759, 0.0867136520926, 0.395313038264
71, 0.782508973759, 0.0344738911272, 0.397466169796
72, 0.782508973759, 0.0603464511632, 0.388726952446
73, 0.782508973759, 0.100894454084, 0.396625453504
74, 0.782508973759, 0.0500173836202, 0.411240316681
75, 0.782508973759, 0.046718912028, 0.445803072888
76, 0.782508973759, 0.0367318675991, 0.481867774539
77, 0.782508973759, 0.0756462867808, 0.445264273386
78, 0.782508973759, 0.0723247710144, 0.418228672898
79, 0.782508973759, 0.0580330742065, 0.433741133258
80, 0.782508973759, 0.0384429586528, 0.435317769124
81, 0.782508973759, 0.0970807088958, 0.478982587411
82, 0.782508973759, 0.00287983963488, 0.486294791963
83, 0.782508973759, 0.0357090039921, 0.442982133693
84, 0.782508973759, 0.0344738911272, 0.463186905052
85, 0.782508973759, 0.0184998223416, 0.370675584536
86, 0.782508973759, 0.0221397840933, 0.443747200841
87, 0.782508973759, 0.0278883994022, 0.396436934443
88, 0.782508973759, 0.0573012706897, 0.412627563882
89, 0.782508973759, 0.0144397959642, 0.428553092594
90, 0.782508973759, 0.0177844746002, 0.422655554424
91, 0.782508973759, 0.0675073252363, 0.433557645958
92, 0.782508973759, 0.0390914514938, 0.437997056118
93, 0.782508973759, 0.0657461226926, 0.445901425547
94, 0.782508973759, 0.0104410359819, 0.450012682192
95, 0.782508973759, 0.0675347036628, 0.465448190462
96, 0.782508973759, 0.0265177625934, 0.463109640688
97, 0.782508973759, 0.0405363990772, 0.504264140007
98, 0.782508973759, 0.0211220866997, 0.474514021453
99, 0.782508973759, 0.0219574870196, 0.459609847532
